FishID,GroupID,Rank,LC_Adj,TL,Init_TL,Diff_TL,Perc_change_TL,R2_Shrink,R1_Shrink,Shrinking,Size_R2R1_Initial,Max_Temp_LC,Max_Temp_LC_INIT
LY347_2,LY347,2,3,56.33,56,0.33,0.589285714,0,,0,0.719516896,31.38,32.516
O142_2,O142,2,2,56.33,56,0.33,0.589285714,0,,0,0.713375796,32.97,32.145
B68_1,B68,1,4,83.5,83,0.5,0.602409639,,0,0,0.785180723,30.2,31.23
B68_1,B68,1,3,83,82.5,0.5,0.606060606,,0,0,0.77369697,31.23,32.45
B010_2,B010,2,3,54.5,54.17,0.33,0.60919328,0,,0,,31.283,32.887
B68_1,B68,1,1,82.5,82,0.5,0.609756098,,0,0,0.798780488,32.007,31.29075
LY106_2,LY106,2,4,54.17,53.83,0.33,0.613041055,0,,0,0.793601651,30.28,31.947
B33_2,B33,2,5,53.5,53.17,0.33,0.620650743,0,,0,0.785724841,27.3475,30.18
B31_1,B31,1,2,80.5,80,0.5,0.625,,0,0,0.8,32.67,33.033
LY106_2,LY106,2,2,52.83,52.5,0.33,0.628571429,0,,0,0.795454545,32.687,32.188
B31_1,B31,1,1,80,79.5,0.5,0.628930818,,0,0,0.79245283,33.033,32.92425
LY347_1,LY347,1,5,80,79.5,0.5,0.628930818,,0,0,0.710691824,28.3085,30.28
B48_1,B48,1,3,79.67,79.17,0.5,0.631552356,,0,0,0.747379058,31.83,33.073
B71_2,B71,2,4,52.17,51.83,0.33,0.636696894,0,,0,0.756642336,30.22,31.335
B58_1,B58,1,1,79,78.5,0.5,0.636942675,,0,0,0.751592357,32.19,31.5515
B71_2,B71,2,3,51.83,51.5,0.33,0.640776699,0,,0,0.751824818,31.335,32.774
B59_1,B59,1,4,51.5,51.17,0.33,0.644909126,,0,0,,30.24,31.96
B83_1,B83,1,5,77.33,76.83,0.5,0.650787453,,0,0,0.79617337,29.74,31.1
LY386_1,LY386,1,1,76.5,76,0.5,0.657894737,,0,0,0.717105263,32.665,31.435
LY253_1,LY253,1,5,76,75.5,0.5,0.662251656,,0,0,,27.7775,30.09
LY103_2,LY103,2,4,49.83,49.5,0.33,0.666666667,0,,0,0.698856417,30.2,31.895
LY253_1,LY253,1,3,75.33,74.83,0.5,0.668181211,,0,0,,31.335,32.417
