GroupID,LC_Adj,Dev_Temp_LC,M_Temp_LC,Max_Temp_LC,Dev_Temp_LC_INIT,M_Temp_LC_INIT,Max_Temp_LC_INIT
B58,1,1.447,31.469,32.19,NA,NA,NA
B58,2,1.1,32.058,32.573,1.447,31.469,32.19
B58,3,0.946,30.721,31.403,1.1,32.058,32.573
B58,4,0.79,29.825,30.41,0.946,30.721,31.403
B58,5,NA,NA,NA,0.79,29.825,30.41
B59,1,1.123,31.753,32.393,NA,NA,NA
B59,2,0.915,31.987,32.405,1.123,31.753,32.393
B59,3,1.433,30.952,31.96,0.915,31.987,32.405
B59,4,0.68,29.877,30.24,1.433,30.952,31.96
B59,5,NA,NA,NA,0.68,29.877,30.24
B59,1,1.123,31.753,32.393,NA,NA,NA
B59,2,0.915,31.987,32.405,1.123,31.753,32.393
B59,3,1.433,30.952,31.96,0.915,31.987,32.405
B60,1,1.053,31.683,32.337,NA,NA,NA
B60,2,1.048,32.208,32.644,1.053,31.683,32.337
B60,3,0.855,31.005,31.635,1.048,32.208,32.644
B60,4,0.389,29.878,30.102,0.855,31.005,31.635
B60,5,NA,NA,NA,0.389,29.878,30.102
B60,1,1.053,31.683,32.337,NA,NA,NA
B60,2,1.048,32.208,32.644,1.053,31.683,32.337
B60,3,0.855,31.005,31.635,1.048,32.208,32.644
B60,4,0.389,29.878,30.102,0.855,31.005,31.635
B60,5,NA,NA,NA,0.389,29.878,30.102
B61,1,1.71,31.792,32.77,NA,NA,NA
B61,2,1.108,32.271,32.828,1.71,31.792,32.77
B61,1,1.71,31.792,32.77,NA,NA,NA
B61,2,1.108,32.271,32.828,1.71,31.792,32.77
B61,3,0.938,30.937,31.668,1.108,32.271,32.828
B61,4,0.64,29.974,30.28,0.938,30.937,31.668
B61,5,NA,NA,NA,0.64,29.974,30.28
B62,1,2.513,31.606,33.03,NA,NA,NA
B62,2,1,32.204,32.518,2.513,31.606,33.03
B62,3,1.013,31.18,31.757,1,32.204,32.518
B62,4,0.797,30.005,30.383,1.013,31.18,31.757
B62,5,NA,NA,NA,0.797,30.005,30.383
B62,1,2.513,31.606,33.03,NA,NA,NA
B62,2,1,32.204,32.518,2.513,31.606,33.03
B62,3,1.013,31.18,31.757,1,32.204,32.518
B62,4,0.797,30.005,30.383,1.013,31.18,31.757
B64,1,3.526,31.968,33.658,NA,NA,NA
B64,2,1.209,32.071,32.753,3.526,31.968,33.658
B64,3,1.312,31.53,32.055,1.209,32.071,32.753
B64,4,0.72,30.171,30.425,1.312,31.53,32.055
B64,5,NA,NA,NA,0.72,30.171,30.425
B64,1,3.526,31.968,33.658,NA,NA,NA
B64,2,1.209,32.071,32.753,3.526,31.968,33.658
B64,3,1.312,31.53,32.055,1.209,32.071,32.753
B64,4,0.72,30.171,30.425,1.312,31.53,32.055
B64,5,NA,NA,NA,0.72,30.171,30.425
B68,1,0.655,31.544,32.007,NA,NA,NA
B68,2,0.85,32.061,32.45,0.655,31.544,32.007
B68,3,0.627,30.776,31.23,0.85,32.061,32.45
B68,4,0.73,29.874,30.2,0.627,30.776,31.23
B68,5,NA,NA,NA,0.73,29.874,30.2
B68,1,0.655,31.544,32.007,NA,NA,NA
B68,2,0.85,32.061,32.45,0.655,31.544,32.007
B68,3,0.627,30.776,31.23,0.85,32.061,32.45
B68,4,0.73,29.874,30.2,0.627,30.776,31.23
B68,5,NA,NA,NA,0.73,29.874,30.2
B69,1,0.937,31.635,32.28,NA,NA,NA
B69,2,1.113,32.035,32.53,0.937,31.635,32.28
B69,3,0.537,30.816,31.11,1.113,32.035,32.53
B69,4,0.747,29.866,30.26,0.537,30.816,31.11
B69,5,NA,NA,NA,0.747,29.866,30.26
B69,1,0.937,31.635,32.28,NA,NA,NA
B69,2,1.113,32.035,32.53,0.937,31.635,32.28
B69,3,0.537,30.816,31.11,1.113,32.035,32.53
B69,4,0.747,29.866,30.26,0.537,30.816,31.11
B69,5,NA,NA,NA,0.747,29.866,30.26
B71,1,2.308,31.686,33.008,NA,NA,NA
B71,2,1.129,32.124,32.774,2.308,31.686,33.008
B71,3,0.745,30.95,31.335,1.129,32.124,32.774
B71,4,0.293,30.059,30.22,0.745,30.95,31.335
B71,5,NA,NA,NA,0.293,30.059,30.22
B71,1,2.308,31.686,33.008,NA,NA,NA
B71,2,1.129,32.124,32.774,2.308,31.686,33.008
B71,3,0.745,30.95,31.335,1.129,32.124,32.774
B71,4,0.293,30.059,30.22,0.745,30.95,31.335
B71,5,NA,NA,NA,0.293,30.059,30.22
B78,1,1.263,31.76,32.32,NA,NA,NA
B78,2,1.579,31.994,32.952,1.263,31.76,32.32
B78,3,1.457,30.959,32.087,1.579,31.994,32.952
B78,4,0.693,30.008,30.313,1.457,30.959,32.087
B78,5,NA,NA,NA,0.693,30.008,30.313
B78,1,1.263,31.76,32.32,NA,NA,NA
B78,2,1.579,31.994,32.952,1.263,31.76,32.32
B78,3,1.457,30.959,32.087,1.579,31.994,32.952
B78,4,0.693,30.008,30.313,1.457,30.959,32.087
B78,5,NA,NA,NA,0.693,30.008,30.313
B79,1,0.604,31.511,31.684,NA,NA,NA
B79,2,1.39,31.852,32.45,0.604,31.511,31.684
B79,3,1.385,30.798,31.8,1.39,31.852,32.45
B79,4,0.52,29.859,30.16,1.385,30.798,31.8
B79,5,NA,NA,NA,0.52,29.859,30.16
B79,1,0.604,31.511,31.684,NA,NA,NA
B79,2,1.39,31.852,32.45,0.604,31.511,31.684
B79,3,1.385,30.798,31.8,1.39,31.852,32.45
B79,4,0.52,29.859,30.16,1.385,30.798,31.8
B79,5,NA,NA,NA,0.52,29.859,30.16
B80,1,1.553,31.556,32.353,NA,NA,NA
B80,2,0.9,32.087,32.6,1.553,31.556,32.353
B80,3,1.015,30.78,31.47,0.9,32.087,32.6
B80,4,1.043,29.778,30.598,1.015,30.78,31.47
B80,5,NA,NA,NA,1.043,29.778,30.598
B80,1,1.553,31.556,32.353,NA,NA,NA
B80,2,0.9,32.087,32.6,1.553,31.556,32.353
B80,3,1.015,30.78,31.47,0.9,32.087,32.6
B80,4,1.043,29.778,30.598,1.015,30.78,31.47
B80,5,NA,NA,NA,1.043,29.778,30.598
B83,1,2.09,31.594,32.78,NA,NA,NA
B83,2,1.417,31.927,32.887,2.09,31.594,32.78
B83,3,3.132,30.61,31.615,1.417,31.927,32.887
B83,4,1.59,29.848,31.1,3.132,30.61,31.615
B83,5,NA,NA,NA,1.59,29.848,31.1
B83,1,2.09,31.594,32.78,NA,NA,NA
B83,2,1.417,31.927,32.887,2.09,31.594,32.78
